                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1029,                 1.9511,                 1.4809,                0.96539,                0.30556,                0.30392,                0.20049,                0.82809,                 2.2452,                0.85651,             0.00046232,             0.00046232,             0.00046232
                      2,                 1.1333,                 1.1114,                 1.4619,                0.70042,                0.19444,                0.19483,                0.09248,                  1.631,                 11.531,                  1.838,             0.00092936,             0.00092936,             0.00092936
                      3,                 1.1367,                 1.0984,                  1.471,                0.56115,                   0.25,                0.18901,                0.11491,                 1.1746,                 9.6882,                 1.1477,               0.001387,               0.001387,               0.001387
                      4,                 1.1281,                 0.9661,                 1.4505,                0.12347,                0.08333,                0.04121,                0.01856,                 2.9218,                 8.7324,                 2.6499,              0.0013866,              0.0013866,              0.0013866
                      5,                 1.1311,                0.96833,                 1.4427,                0.78519,                0.05556,                0.03249,                0.01355,                 2.9695,                  6.022,                 2.5453,              0.0013724,              0.0013724,              0.0013724
                      6,                 1.1588,                0.88766,                 1.4304,                  0.557,                0.16667,                 0.1907,                0.12152,                0.94486,                 2.3013,                0.96185,              0.0013583,              0.0013583,              0.0013583
                      7,                 1.1081,                0.98426,                   1.42,                 0.7856,                0.16667,                 0.1651,                0.11314,                0.98428,                 2.4587,                0.98244,              0.0013441,              0.0013441,              0.0013441
                      8,                 1.0478,                 0.8746,                 1.3781,                0.78746,                0.16667,                0.14604,                0.08639,                 1.1466,                  2.718,                 1.0655,                0.00133,                0.00133,                0.00133
                      9,                 1.0765,                0.81926,                 1.3765,                0.98503,                0.16667,                0.17881,                0.12964,                0.77102,                 1.1055,                0.84448,              0.0013158,              0.0013158,              0.0013158
                     10,                 1.0492,                0.79351,                 1.3799,                0.93768,                0.11111,                 0.1178,                 0.0957,                 1.0435,                 1.8481,                 1.0397,              0.0013017,              0.0013017,              0.0013017
                     11,                 1.0591,                0.81738,                  1.379,                0.93764,                0.13889,                0.14597,                0.11797,                0.70926,                 1.4318,                0.81891,              0.0012875,              0.0012875,              0.0012875
                     12,                 1.0321,                0.83416,                 1.3905,                0.83156,                0.16667,                0.16499,                0.13545,                0.82405,                 1.2789,                0.86471,              0.0012734,              0.0012734,              0.0012734
